"Term","Student ID","Major Desc"
202420,901533341,"Business Administration"
202420,901536800,"Liberal Arts"
202420,901537789,"Criminal Justice"
202420,901557953,"Liberal Arts"
202420,901504709,"Dual Credit"
202420,901460116,"Dual Credit"
202420,901534659,"Dance"
202420,901534812,"Veterinary Technology"
202420,901564819,"International Studies"
202420,901566704,"Business Administration"
202420,901468060,"Dual Credit"
202420,901570890,"Liberal Arts"
202420,901534076,"Computer Science"
202420,901349099,"Biology"
202420,901445076,"Liberal Arts"
202420,901574863,"Business Administration"
202420,901575706,"Diagnostic Medical Sonography"
202420,901575709,"Engineering"
202420,901579980,"Dual Credit"
202420,901580694,"Biology/Pre-Nursing"
202420,901582987,"Dual Credit"
202420,901582996,"Dual Credit"
202420,901415224,"Dual Credit"
202420,901592541,"Dual Credit"
202420,901594728,"Liberal Arts"
202420,901462861,"Liberal Arts"
202420,900288222,"Paralegal Studies"
202420,900802632,"Business Administration"
202420,900928956,"Business Administration"
202420,901020984,"Biology/Pre-Nursing"
202420,901028096,"Clinical Research Coordinator"
202420,900635185,"Biology/Pre-Professional"
202420,901141722,"TX Teacher EC-6, 4-8, & EC-12"
202420,901206487,"Accounting Technician"
202420,900755938,"Biomedical Engineering Tech"
202420,901248630,"Mortuary Science"
202420,901266036,"Engineering"
202420,901268866,"Business Management"
202420,901157059,"Chemistry"
202420,901291895,"Business Administration"
202420,901301772,"TX Teacher EC-6, 4-8, & EC-12"
202420,901333562,"History"
202420,901358233,"Occupational Therapy Assistant"
202420,901375015,"Biology/Pre-Nursing"
202420,901382617,"Chemistry"
202420,901384383,"Psychology"
202420,900503341,"Digital Video & Cinema Prod"
202420,901391823,"Nurs:Career Mobility-LVN - RN"
202420,901396465,"Biology/Pre-Professional"
202420,901324880,"Biology/Pre-Nursing"
202420,901416239,"Geography"
202420,901418999,"Dual Credit"
202420,900070242,"Liberal Arts"
202420,901397188,"History"
202420,901062473,"Biology/Pre-Nursing"
202420,901028731,"Biology/Pre-Nursing"
202420,901363294,"Business Administration"
202420,901147364,"Aircraft Technician Airframe"
202420,901418610,"Biology"
202420,901295122,"GM Automotive Serv Educ Prog"
202420,901442117,"Radiography Technologist"
202420,901449140,"Info Tech Network Admin"
202420,901453726,"Dual Credit"
202420,900642603,"Nurs: Generic"
202420,901462024,"Digital Video & Cinema Prod"
202420,901369453,"Drama"
202420,901465656,"Kinesiology"
202420,901466273,"Business Administration"
202420,901469619,"Biology/Pre-Nursing"
202420,901025978,"Biology/Pre-Nursing"
202420,901476348,"Mortuary Science"
